County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
VENANGO,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
WARREN,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
WASHINGTON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
WAYNE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
WESTMORELAND,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
WYOMING,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
YORK,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
ADAMS,"JORGENSEN, JO",LIB,0,0,0,0,0.00
ALLEGHENY,"JORGENSEN, JO",LIB,0,0,0,0,0.00
ARMSTRONG,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BEAVER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BEDFORD,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BERKS,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BLAIR,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BRADFORD,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BUCKS,"JORGENSEN, JO",LIB,0,0,0,0,0.00
BUTLER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CAMBRIA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CAMERON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CARBON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CENTRE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CHESTER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CLARION,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CLEARFIELD,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CLINTON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
COLUMBIA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CRAWFORD,"JORGENSEN, JO",LIB,0,0,0,0,0.00
CUMBERLAND,"JORGENSEN, JO",LIB,0,0,0,0,0.00
DAUPHIN,"JORGENSEN, JO",LIB,0,0,0,0,0.00
DELAWARE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
ELK,"JORGENSEN, JO",LIB,0,0,0,0,0.00
ERIE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
FAYETTE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
FOREST,"JORGENSEN, JO",LIB,0,0,0,0,0.00
FRANKLIN,"JORGENSEN, JO",LIB,0,0,0,0,0.00
FULTON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
GREENE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
HUNTINGDON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
INDIANA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
JEFFERSON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
JUNIATA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LACKAWANNA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LANCASTER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LAWRENCE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LEBANON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LEHIGH,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LUZERNE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
LYCOMING,"JORGENSEN, JO",LIB,0,0,0,0,0.00
McKEAN,"JORGENSEN, JO",LIB,0,0,0,0,0.00
MERCER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
MIFFLIN,"JORGENSEN, JO",LIB,0,0,0,0,0.00
MONROE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
MONTGOMERY,"JORGENSEN, JO",LIB,0,0,0,0,0.00
MONTOUR,"JORGENSEN, JO",LIB,0,0,0,0,0.00
NORTHAMPTON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
NORTHUMBERLAND,"JORGENSEN, JO",LIB,0,0,0,0,0.00
PERRY,"JORGENSEN, JO",LIB,0,0,0,0,0.00
PHILADELPHIA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
PIKE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
POTTER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
SCHUYLKILL,"JORGENSEN, JO",LIB,0,0,0,0,0.00
SNYDER,"JORGENSEN, JO",LIB,0,0,0,0,0.00
SOMERSET,"JORGENSEN, JO",LIB,0,0,0,0,0.00
SULLIVAN,"JORGENSEN, JO",LIB,0,0,0,0,0.00
SUSQUEHANNA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
TIOGA,"JORGENSEN, JO",LIB,0,0,0,0,0.00
UNION,"JORGENSEN, JO",LIB,0,0,0,0,0.00
VENANGO,"JORGENSEN, JO",LIB,0,0,0,0,0.00
WARREN,"JORGENSEN, JO",LIB,0,0,0,0,0.00
WASHINGTON,"JORGENSEN, JO",LIB,0,0,0,0,0.00
WAYNE,"JORGENSEN, JO",LIB,0,0,0,0,0.00
WESTMORELAND,"JORGENSEN, JO",LIB,0,0,0,0,0.00
WYOMING,"JORGENSEN, JO",LIB,0,0,0,0,0.00
YORK,"JORGENSEN, JO",LIB,0,0,0,0,0.00
