County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
POTTER,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
SCHUYLKILL,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
SNYDER,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
SOMERSET,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
SULLIVAN,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
SUSQUEHANNA,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
TIOGA,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
UNION,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
VENANGO,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
WARREN,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
WASHINGTON,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
WAYNE,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
WESTMORELAND,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
WYOMING,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
YORK,"HEIDELBAUGH, HEATHER  S",REP,0,0,0,0,0.00
ADAMS,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
ALLEGHENY,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
ARMSTRONG,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BEAVER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BEDFORD,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BERKS,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BLAIR,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BRADFORD,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BUCKS,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
BUTLER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CAMBRIA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CAMERON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CARBON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CENTRE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CHESTER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CLARION,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CLEARFIELD,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CLINTON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
COLUMBIA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CRAWFORD,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
CUMBERLAND,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
DAUPHIN,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
DELAWARE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
ELK,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
